Item_Type,Item_ID,Purchase_ID,Sales_ID,Qty,Price,Cost,Supplier_ID,Warehouse_ID,Order_Date,Delivery_Date,Inventory_Valuation,Transfer_ID,Work_Order_ID,Purchase_Order_Qty,Sales_Order_Qty,Adjustment_Qty,Stock_Level,Stock_Check_Date,Customer_ID,Customer_Type,Shipping_ID,Region,Currency,Discount,Tax
Clothing,2316,377833,449001,60,643.5,667.85,3461,332,2023-01-01 13:00:00,2023-02-01 13:00:00,32020.75,386388,656099,23,36,-9,794,2023-03-01 13:00:00,45816,Distributor,417098,Asia,JPY,14.34,4.75
Toys,8130,270932,869396,43,313.01,549.62,1117,330,2023-01-01 14:00:00,2023-02-01 14:00:00,15271.94,915170,598428,92,30,-38,464,2023-03-01 14:00:00,38215,Retail,402731,North America,GBP,2.94,5.49
Clothing,4186,936776,724264,93,418.15,144.78,2859,397,2023-01-01 15:00:00,2023-02-01 15:00:00,34500.91,693067,692497,20,86,-28,661,2023-03-01 15:00:00,69120,Distributor,707690,Africa,JPY,13.44,11.19
Toys,6789,602025,797522,98,451.27,158.77,4431,257,2023-01-01 16:00:00,2023-02-01 16:00:00,43485.62,875667,490816,23,26,6,923,2023-03-01 16:00:00,61466,Retail,228445,Asia,EUR,40.12,14.81
Food,2145,430035,560207,40,308.93,128.81,2579,357,2023-01-01 17:00:00,2023-02-01 17:00:00,5378.95,494021,573521,75,31,41,648,2023-03-01 17:00:00,70937,Distributor,813583,Africa,EUR,28.47,2.51
Electronics,5394,282730,450609,96,348.41,199.87,4160,310,2023-01-01 18:00:00,2023-02-01 18:00:00,26115.46,784612,751764,87,46,-32,670,2023-03-01 18:00:00,98784,Distributor,209525,Asia,GBP,48.31,10.76
Toys,8942,197464,328745,85,17.24,298.86,3385,283,2023-01-01 19:00:00,2023-02-01 19:00:00,1919.75,940749,886634,35,29,-19,547,2023-03-01 19:00:00,87602,Wholesale,646684,Asia,USD,1.08,10.86
Clothing,8548,952301,664082,30,304.11,667.0,592,294,2023-01-01 20:00:00,2023-02-01 20:00:00,14699.14,710406,263892,86,73,-41,356,2023-03-01 20:00:00,24878,Wholesale,598471,Asia,USD,41.38,10.29
Food,1560,528546,653525,63,477.58,59.53,4093,139,2023-01-01 21:00:00,2023-02-01 21:00:00,7710.07,829838,739724,28,58,31,650,2023-03-01 21:00:00,11139,Retail,894301,Europe,USD,18.49,7.05
Toys,2912,180312,213742,24,181.28,739.3,1390,290,2023-01-01 22:00:00,2023-02-01 22:00:00,31589.48,354575,769529,87,30,-43,653,2023-03-01 22:00:00,52440,Retail,958768,North America,USD,46.11,0.17
Electronics,2864,815424,951726,44,807.53,239.9,2459,414,2023-01-01 23:00:00,2023-02-01 23:00:00,13185.5,217563,396113,51,54,-35,718,2023-03-01 23:00:00,83371,Distributor,335244,Asia,USD,45.22,3.86
Electronics,1296,651302,595498,14,542.26,554.01,4413,160,2023-01-02 00:00:00,2023-02-02 00:00:00,14837.51,897727,163005,98,20,-16,542,2023-03-02 00:00:00,36549,Wholesale,447769,Europe,EUR,47.05,1.0
Furniture,3409,658851,299079,28,795.94,499.73,4629,279,2023-01-02 01:00:00,2023-02-02 01:00:00,11075.88,354870,872835,20,27,7,447,2023-03-02 01:00:00,73485,Distributor,491539,Africa,EUR,22.26,9.53
Furniture,8630,460701,113417,14,136.82,142.85,3860,431,2023-01-02 02:00:00,2023-02-02 02:00:00,12946.32,556082,977303,44,13,30,838,2023-03-02 02:00:00,25371,Wholesale,971591,Asia,JPY,43.39,11.52
Clothing,2461,496873,152328,56,822.31,262.13,3518,334,2023-01-02 03:00:00,2023-02-02 03:00:00,12030.4,267450,365696,51,49,-3,603,2023-03-02 03:00:00,21811,Retail,394985,Africa,JPY,10.61,5.23
Toys,5292,713710,562126,34,958.68,269.85,1867,135,2023-01-02 04:00:00,2023-02-02 04:00:00,35195.69,953460,682636,49,59,-3,995,2023-03-02 04:00:00,93418,Retail,390842,North America,JPY,38.82,6.15
Toys,3268,470063,762133,78,358.93,563.33,4627,327,2023-01-02 05:00:00,2023-02-02 05:00:00,47834.71,107457,446526,13,68,-28,144,2023-03-02 05:00:00,46081,Retail,329642,Africa,USD,10.59,5.01
Furniture,1994,561989,202116,89,291.11,710.71,4000,130,2023-01-02 06:00:00,2023-02-02 06:00:00,25021.34,465889,799137,57,11,-25,228,2023-03-02 06:00:00,62970,Distributor,679513,North America,EUR,11.16,9.17
Toys,7554,245271,155443,12,650.36,896.68,4597,324,2023-01-02 07:00:00,2023-02-02 07:00:00,30419.0,441108,180462,19,78,4,896,2023-03-02 07:00:00,14089,Wholesale,197649,Asia,EUR,45.8,2.7
Toys,1007,741142,581121,56,639.55,90.83,1985,222,2023-01-02 08:00:00,2023-02-02 08:00:00,41087.2,453076,340331,54,60,-28,222,2023-03-02 08:00:00,81567,Retail,190687,Europe,USD,32.5,15.0
Electronics,3515,604803,315189,61,121.34,845.11,1812,362,2023-01-02 09:00:00,2023-02-02 09:00:00,24329.2,745768,980455,96,80,-1,845,2023-03-02 09:00:00,76265,Distributor,436581,Africa,GBP,42.16,3.46
Furniture,2417,346229,618225,61,927.49,507.57,4188,222,2023-01-02 10:00:00,2023-02-02 10:00:00,15799.19,143678,625250,17,86,-28,773,2023-03-02 10:00:00,31572,Retail,676883,Europe,USD,34.91,4.77
Food,3316,179317,147119,40,484.27,324.31,710,317,2023-01-02 11:00:00,2023-02-02 11:00:00,47597.77,775639,742231,85,84,3,641,2023-03-02 11:00:00,94960,Distributor,787952,Asia,JPY,2.5,10.21
Furniture,8358,377264,920100,20,766.77,259.69,4533,445,2023-01-02 12:00:00,2023-02-02 12:00:00,45401.67,286719,816960,27,85,5,932,2023-03-02 12:00:00,10136,Distributor,861727,Africa,GBP,7.98,8.31
Food,4932,287884,837472,42,365.72,192.09,1282,375,2023-01-02 13:00:00,2023-02-02 13:00:00,11797.63,911593,616254,76,38,-6,703,2023-03-02 13:00:00,18783,Wholesale,402282,Africa,GBP,26.99,9.28
Electronics,7204,714113,627058,7,268.92,503.58,611,197,2023-01-02 14:00:00,2023-02-02 14:00:00,35450.75,456760,653238,13,64,20,776,2023-03-02 14:00:00,27421,Wholesale,317001,North America,JPY,13.16,14.87
Clothing,2287,892415,293609,79,120.16,851.69,1888,105,2023-01-02 15:00:00,2023-02-02 15:00:00,32709.84,486944,378628,30,36,-39,571,2023-03-02 15:00:00,39386,Retail,787944,Europe,JPY,22.3,3.35
Toys,2118,359571,275380,73,281.77,168.03,2523,222,2023-01-02 16:00:00,2023-02-02 16:00:00,32832.01,790901,546206,69,22,-29,813,2023-03-02 16:00:00,13124,Wholesale,876435,Asia,GBP,11.04,5.0
Electronics,9744,428773,400092,68,993.5,395.37,4284,185,2023-01-02 17:00:00,2023-02-02 17:00:00,41699.55,453204,844556,82,29,-34,190,2023-03-02 17:00:00,81016,Distributor,627505,Asia,GBP,45.37,4.8
Toys,8637,170325,213612,31,661.38,187.44,4898,329,2023-01-02 18:00:00,2023-02-02 18:00:00,34031.18,627829,298434,53,77,26,771,2023-03-02 18:00:00,97651,Retail,500379,Africa,JPY,30.95,12.27
Clothing,1660,758272,543318,87,804.75,162.19,1196,180,2023-01-02 19:00:00,2023-02-02 19:00:00,26382.19,516722,115719,70,84,-3,544,2023-03-02 19:00:00,38927,Wholesale,459435,Africa,JPY,43.4,6.37
Clothing,9907,934311,860343,70,958.92,780.73,1360,461,2023-01-02 20:00:00,2023-02-02 20:00:00,42457.23,920924,527380,88,26,27,864,2023-03-02 20:00:00,95685,Wholesale,853100,Asia,JPY,26.78,8.56
Electronics,7922,777233,758966,92,88.2,239.46,754,290,2023-01-02 21:00:00,2023-02-02 21:00:00,13977.21,507458,267616,77,49,20,345,2023-03-02 21:00:00,83218,Distributor,180611,Asia,GBP,45.16,0.67
Clothing,9104,114332,704502,76,173.05,226.93,1752,354,2023-01-02 22:00:00,2023-02-02 22:00:00,34282.05,988043,529954,35,64,-1,912,2023-03-02 22:00:00,37766,Retail,259701,Africa,USD,28.7,11.97
Food,7337,771924,360490,47,928.69,819.26,1864,140,2023-01-02 23:00:00,2023-02-02 23:00:00,35374.49,362738,277161,75,23,32,487,2023-03-02 23:00:00,42147,Retail,211580,Africa,EUR,4.46,4.08
Clothing,3529,702083,219726,51,568.91,350.51,3474,317,2023-01-03 00:00:00,2023-02-03 00:00:00,43645.69,669114,999571,94,23,8,523,2023-03-03 00:00:00,57349,Distributor,283458,Africa,EUR,23.34,4.28
Toys,4970,207716,395169,58,638.5,12.8,2088,447,2023-01-03 01:00:00,2023-02-03 01:00:00,49917.07,571178,191769,27,97,-12,381,2023-03-03 01:00:00,58606,Distributor,255229,North America,JPY,37.4,7.14
Toys,4407,513742,150373,22,433.36,650.46,4937,213,2023-01-03 02:00:00,2023-02-03 02:00:00,28320.01,401289,311065,75,12,20,371,2023-03-03 02:00:00,77125,Distributor,488619,Europe,EUR,19.96,0.16
Toys,8416,820841,900820,24,816.28,467.73,3303,464,2023-01-03 03:00:00,2023-02-03 03:00:00,24736.28,645307,405435,16,14,9,281,2023-03-03 03:00:00,33167,Wholesale,424221,Europe,GBP,43.81,1.62
Toys,5760,973081,969002,34,522.07,697.85,3909,299,2023-01-03 04:00:00,2023-02-03 04:00:00,30433.48,491305,238755,29,62,40,365,2023-03-03 04:00:00,58734,Wholesale,536928,Europe,USD,3.59,11.9
Food,2897,121643,995246,63,827.87,515.41,757,234,2023-01-03 05:00:00,2023-02-03 05:00:00,33275.2,801218,902932,53,86,-34,104,2023-03-03 05:00:00,81210,Wholesale,387611,Asia,GBP,23.04,14.4
Furniture,7364,163128,393064,60,992.26,319.38,3631,298,2023-01-03 06:00:00,2023-02-03 06:00:00,35936.23,607153,907791,89,63,-17,931,2023-03-03 06:00:00,75937,Retail,321560,Asia,JPY,20.82,11.37
Electronics,9464,666811,884250,19,650.26,64.58,2776,256,2023-01-03 07:00:00,2023-02-03 07:00:00,14779.81,845604,949772,87,14,24,763,2023-03-03 07:00:00,87505,Distributor,847830,Europe,GBP,30.43,0.11
Toys,5087,956652,246083,24,533.53,780.01,931,422,2023-01-03 08:00:00,2023-02-03 08:00:00,24864.59,214053,990552,88,80,-42,832,2023-03-03 08:00:00,82559,Distributor,824670,North America,JPY,4.88,7.62
Clothing,5374,566606,984315,64,371.51,190.34,4387,499,2023-01-03 09:00:00,2023-02-03 09:00:00,19175.11,198133,176995,67,18,-12,471,2023-03-03 09:00:00,65373,Retail,781423,Africa,GBP,41.42,11.14
Toys,8607,152784,158266,20,202.75,874.36,617,432,2023-01-03 10:00:00,2023-02-03 10:00:00,2899.89,131389,690358,59,43,16,326,2023-03-03 10:00:00,66037,Distributor,526863,North America,GBP,15.1,8.7
Clothing,5019,974325,217847,98,660.09,225.02,3447,405,2023-01-03 11:00:00,2023-02-03 11:00:00,30866.65,274417,544775,39,69,-28,881,2023-03-03 11:00:00,94824,Distributor,735800,Asia,GBP,42.72,12.77
Clothing,1815,946133,613205,27,72.01,745.2,839,437,2023-01-03 12:00:00,2023-02-03 12:00:00,43865.91,208012,374683,57,37,-11,680,2023-03-03 12:00:00,49640,Wholesale,855354,Asia,JPY,0.78,2.94
Toys,8255,768487,897538,58,956.72,710.93,2718,143,2023-01-03 13:00:00,2023-02-03 13:00:00,46152.16,802272,250422,80,67,-47,383,2023-03-03 13:00:00,73783,Retail,794771,North America,GBP,19.29,14.26
Food,1922,478245,646074,44,651.08,419.16,1776,304,2023-01-03 14:00:00,2023-02-03 14:00:00,26353.76,752995,964689,33,75,6,876,2023-03-03 14:00:00,75693,Distributor,148012,Europe,USD,12.99,12.92
Clothing,5867,209002,379088,93,959.77,364.52,1031,386,2023-01-03 15:00:00,2023-02-03 15:00:00,38528.34,225117,526574,90,37,-35,127,2023-03-03 15:00:00,50881,Retail,195079,Europe,USD,22.74,13.74
Clothing,2264,784764,436061,65,279.55,634.42,4944,422,2023-01-03 16:00:00,2023-02-03 16:00:00,35908.22,691209,250272,90,54,8,522,2023-03-03 16:00:00,88231,Wholesale,975747,North America,EUR,11.77,2.06
Toys,4724,623897,272236,46,947.05,478.05,3875,321,2023-01-03 17:00:00,2023-02-03 17:00:00,12216.0,443215,551095,14,13,34,576,2023-03-03 17:00:00,90800,Retail,499892,Asia,EUR,2.23,7.89
Clothing,3722,843784,307815,54,616.0,570.6,3922,358,2023-01-03 18:00:00,2023-02-03 18:00:00,4082.62,342287,172107,64,97,-26,841,2023-03-03 18:00:00,15192,Retail,123046,Africa,GBP,12.34,4.47
Clothing,6355,117401,285323,39,812.16,425.84,2096,189,2023-01-03 19:00:00,2023-02-03 19:00:00,37644.96,164663,606432,10,75,-46,465,2023-03-03 19:00:00,88679,Distributor,553508,Europe,JPY,15.68,8.92
Toys,3550,988390,983327,7,187.13,503.65,650,202,2023-01-03 20:00:00,2023-02-03 20:00:00,14852.03,845040,885708,59,71,-50,984,2023-03-03 20:00:00,73377,Distributor,563059,North America,USD,48.56,9.46
Toys,6319,344373,529025,54,505.11,174.29,1328,457,2023-01-03 21:00:00,2023-02-03 21:00:00,27919.74,808266,264337,52,71,45,716,2023-03-03 21:00:00,53372,Distributor,504872,Africa,USD,14.46,4.28
Electronics,7686,876890,368988,43,573.27,54.58,2883,304,2023-01-03 22:00:00,2023-02-03 22:00:00,26679.15,886294,431468,94,47,-31,801,2023-03-03 22:00:00,39532,Wholesale,326502,North America,JPY,4.73,8.75
Food,2673,212046,863561,20,398.93,323.55,774,430,2023-01-03 23:00:00,2023-02-03 23:00:00,41075.82,618996,670872,39,68,-40,211,2023-03-03 23:00:00,36732,Retail,196513,Europe,USD,22.07,12.96
Food,5587,950804,936296,84,260.7,421.95,1727,456,2023-01-04 00:00:00,2023-02-04 00:00:00,32587.64,983911,513879,77,42,46,277,2023-03-04 00:00:00,20034,Wholesale,247472,Europe,EUR,45.14,13.62
Clothing,6353,374115,307484,25,905.73,815.9,1751,362,2023-01-04 01:00:00,2023-02-04 01:00:00,42510.22,350349,556882,78,62,49,273,2023-03-04 01:00:00,47485,Retail,868424,Africa,USD,31.75,9.42
Food,7857,606911,844227,43,94.21,375.48,3750,126,2023-01-04 02:00:00,2023-02-04 02:00:00,37859.56,894897,364477,50,33,-19,381,2023-03-04 02:00:00,42218,Retail,264505,North America,EUR,21.44,9.02
Clothing,2666,450162,408077,85,162.45,393.36,756,106,2023-01-04 03:00:00,2023-02-04 03:00:00,49991.73,803648,765427,30,90,32,748,2023-03-04 03:00:00,92299,Wholesale,274920,Europe,JPY,46.01,9.62
Electronics,5511,354572,113144,73,327.31,608.97,1180,363,2023-01-04 04:00:00,2023-02-04 04:00:00,43329.87,277757,900617,29,55,-12,881,2023-03-04 04:00:00,11164,Distributor,635589,Asia,JPY,19.68,7.9
Toys,7172,640853,369793,27,920.57,190.07,4503,455,2023-01-04 05:00:00,2023-02-04 05:00:00,11342.75,989352,197796,29,93,-6,238,2023-03-04 05:00:00,64797,Wholesale,694193,Europe,JPY,44.45,7.58
Toys,2384,631117,529861,92,568.57,785.12,2142,141,2023-01-04 06:00:00,2023-02-04 06:00:00,48108.06,576851,117384,46,93,6,689,2023-03-04 06:00:00,12926,Distributor,484708,Europe,GBP,25.85,5.52
Toys,5403,356680,808034,25,379.44,387.74,3611,320,2023-01-04 07:00:00,2023-02-04 07:00:00,17666.58,382051,237028,90,96,31,516,2023-03-04 07:00:00,17391,Distributor,832453,Asia,JPY,43.61,5.94
Food,4954,176023,466099,36,408.65,838.05,3482,440,2023-01-04 08:00:00,2023-02-04 08:00:00,30784.16,386209,890389,82,53,-15,267,2023-03-04 08:00:00,68334,Wholesale,526470,Asia,USD,35.98,2.54
Electronics,7305,528651,112818,98,839.4,247.79,2299,253,2023-01-04 09:00:00,2023-02-04 09:00:00,47126.19,979386,392077,32,72,-9,714,2023-03-04 09:00:00,28457,Distributor,608051,Europe,EUR,32.9,0.86
Food,9252,181823,361644,66,36.51,421.71,742,160,2023-01-04 10:00:00,2023-02-04 10:00:00,11494.1,299012,449942,93,78,37,727,2023-03-04 10:00:00,45898,Wholesale,174971,North America,JPY,44.61,9.2
Food,8238,663229,136880,9,21.23,701.45,979,375,2023-01-04 11:00:00,2023-02-04 11:00:00,43007.65,438593,325276,18,30,45,894,2023-03-04 11:00:00,81399,Retail,775739,North America,USD,49.79,5.92
Electronics,7981,875469,946541,83,55.62,502.55,1273,320,2023-01-04 12:00:00,2023-02-04 12:00:00,47704.48,706645,718916,99,47,-42,139,2023-03-04 12:00:00,36611,Distributor,834589,Europe,USD,44.95,7.38
Electronics,7026,797819,792693,79,474.51,596.81,708,178,2023-01-04 13:00:00,2023-02-04 13:00:00,42833.76,993962,521012,90,26,-27,123,2023-03-04 13:00:00,84343,Retail,317393,Asia,JPY,6.15,9.21
Electronics,7609,541192,940490,53,585.44,256.22,2045,186,2023-01-04 14:00:00,2023-02-04 14:00:00,41139.4,597910,917377,93,88,28,921,2023-03-04 14:00:00,20132,Distributor,646200,Africa,JPY,9.94,8.15
Electronics,9664,997971,518346,21,628.22,298.97,4496,178,2023-01-04 15:00:00,2023-02-04 15:00:00,13966.1,363617,638349,91,28,-4,498,2023-03-04 15:00:00,42908,Distributor,554233,Asia,USD,48.68,6.36
Toys,1958,572415,257788,50,733.83,459.31,4112,150,2023-01-04 16:00:00,2023-02-04 16:00:00,20947.88,473022,216337,94,36,-5,974,2023-03-04 16:00:00,74143,Distributor,849395,Asia,USD,21.01,11.37
Furniture,9724,633464,858641,16,197.83,186.22,4231,429,2023-01-04 17:00:00,2023-02-04 17:00:00,38256.37,469579,977381,72,70,35,210,2023-03-04 17:00:00,95055,Distributor,783926,Africa,USD,9.8,3.18
Furniture,1493,357505,393441,66,269.66,118.04,3125,485,2023-01-04 18:00:00,2023-02-04 18:00:00,6790.11,259799,686473,35,27,47,737,2023-03-04 18:00:00,90793,Distributor,240109,North America,USD,6.78,1.17
Electronics,8042,937948,381206,26,251.07,760.2,980,339,2023-01-04 19:00:00,2023-02-04 19:00:00,44530.25,100344,856862,48,96,8,168,2023-03-04 19:00:00,43438,Retail,528320,Asia,GBP,2.22,11.24
Furniture,1081,770432,653780,44,157.68,698.49,2048,471,2023-01-04 20:00:00,2023-02-04 20:00:00,11302.59,369545,418021,24,61,-41,811,2023-03-04 20:00:00,95098,Distributor,293458,Africa,JPY,17.28,2.06
Furniture,7999,459512,862439,29,251.95,839.19,1503,227,2023-01-04 21:00:00,2023-02-04 21:00:00,28675.53,362290,331369,71,53,-49,172,2023-03-04 21:00:00,67365,Wholesale,410904,Africa,GBP,0.15,14.55
Electronics,3970,512905,711149,97,617.52,529.96,4959,385,2023-01-04 22:00:00,2023-02-04 22:00:00,6147.92,405439,134526,67,18,-9,809,2023-03-04 22:00:00,55407,Distributor,419852,Africa,JPY,14.49,4.52
Furniture,1011,249671,287553,98,372.75,381.14,2970,328,2023-01-04 23:00:00,2023-02-04 23:00:00,10074.31,981059,774437,40,92,-44,243,2023-03-04 23:00:00,30651,Retail,656110,Asia,JPY,30.51,8.41
Food,8824,749958,831084,46,770.23,97.2,2458,446,2023-01-05 00:00:00,2023-02-05 00:00:00,29689.5,776422,410082,92,48,-50,937,2023-03-05 00:00:00,95343,Retail,602957,North America,EUR,3.05,7.72
Clothing,1761,182045,821737,91,541.05,766.17,2137,294,2023-01-05 01:00:00,2023-02-05 01:00:00,32097.47,464173,285080,77,56,-42,477,2023-03-05 01:00:00,56617,Wholesale,803082,Asia,EUR,9.49,6.22
Clothing,4185,266460,398950,71,219.92,413.35,4256,200,2023-01-05 02:00:00,2023-02-05 02:00:00,14217.82,230426,785099,46,46,-9,225,2023-03-05 02:00:00,52974,Wholesale,531826,Europe,USD,44.26,9.1
Electronics,1025,481047,986540,49,472.71,507.21,2760,404,2023-01-05 03:00:00,2023-02-05 03:00:00,6835.77,131404,865878,71,11,-25,525,2023-03-05 03:00:00,50696,Distributor,658038,Europe,JPY,13.29,13.19
Toys,2806,674891,174457,15,597.44,285.6,1692,103,2023-01-05 04:00:00,2023-02-05 04:00:00,27928.24,649120,985555,73,90,28,989,2023-03-05 04:00:00,23504,Wholesale,878159,North America,USD,25.05,9.62
Electronics,7651,436880,694173,17,867.53,473.87,1731,384,2023-01-05 05:00:00,2023-02-05 05:00:00,42191.25,242515,619768,56,35,6,375,2023-03-05 05:00:00,87960,Retail,763813,North America,JPY,4.08,0.6
Toys,6664,387933,699479,9,835.38,704.67,2517,299,2023-01-05 06:00:00,2023-02-05 06:00:00,10870.83,156096,486387,80,94,-29,757,2023-03-05 06:00:00,69825,Retail,693892,Africa,EUR,30.48,6.74
Clothing,6154,832792,147674,77,432.22,642.47,1020,261,2023-01-05 07:00:00,2023-02-05 07:00:00,34886.7,189249,760194,65,92,36,435,2023-03-05 07:00:00,94871,Retail,767957,Europe,JPY,24.66,0.38
Electronics,6824,580683,704703,32,651.2,890.09,518,339,2023-01-05 08:00:00,2023-02-05 08:00:00,19908.17,271919,276576,26,88,-48,368,2023-03-05 08:00:00,84318,Retail,370222,Asia,EUR,31.39,13.04
Food,4659,975055,563698,66,304.83,448.61,2009,492,2023-01-05 09:00:00,2023-02-05 09:00:00,47211.32,759294,769619,19,70,-40,370,2023-03-05 09:00:00,82267,Distributor,436208,Europe,USD,16.82,12.58
Furniture,2525,582505,405271,59,636.67,479.08,2784,285,2023-01-05 10:00:00,2023-02-05 10:00:00,5046.08,284440,912446,52,77,5,518,2023-03-05 10:00:00,74941,Wholesale,987438,Europe,USD,16.39,7.04
Toys,1760,938714,516718,32,913.66,52.19,2651,180,2023-01-05 11:00:00,2023-02-05 11:00:00,2958.45,275745,462748,70,18,35,301,2023-03-05 11:00:00,62411,Retail,825786,Asia,EUR,33.78,14.71
Furniture,1594,395608,981461,84,628.3,353.5,1436,173,2023-01-05 12:00:00,2023-02-05 12:00:00,7091.1,249693,576109,23,63,11,783,2023-03-05 12:00:00,45986,Distributor,482791,Africa,JPY,19.11,10.74
Furniture,8192,298878,303265,43,310.73,830.28,736,283,2023-01-05 13:00:00,2023-02-05 13:00:00,39339.8,981483,421602,91,67,-11,503,2023-03-05 13:00:00,70783,Distributor,262157,North America,USD,41.15,4.48
Electronics,2055,928426,345365,83,647.54,318.68,3673,336,2023-01-05 14:00:00,2023-02-05 14:00:00,46215.72,288434,438683,18,36,27,322,2023-03-05 14:00:00,62089,Wholesale,774014,Africa,GBP,31.28,0.24
Furniture,4083,618936,281796,91,903.73,690.67,2471,313,2023-01-05 15:00:00,2023-02-05 15:00:00,41301.36,606254,791535,89,12,-35,755,2023-03-05 15:00:00,71710,Distributor,646943,Africa,GBP,28.98,11.06
Food,4675,312668,499456,59,145.68,879.95,4157,180,2023-01-05 16:00:00,2023-02-05 16:00:00,36173.77,148591,260205,82,75,47,965,2023-03-05 16:00:00,98401,Retail,413766,Europe,USD,13.51,2.85
Furniture,6957,339103,580102,30,487.62,118.53,4249,322,2023-01-05 17:00:00,2023-02-05 17:00:00,3821.65,917935,584930,20,74,-46,619,2023-03-05 17:00:00,72188,Wholesale,406682,North America,USD,13.54,14.66
Electronics,6255,469453,207889,11,327.84,303.92,1442,463,2023-01-05 18:00:00,2023-02-05 18:00:00,11476.77,303675,607616,36,66,2,670,2023-03-05 18:00:00,72251,Wholesale,520023,Europe,GBP,32.57,8.87
Food,5228,223189,410688,80,249.05,429.56,890,288,2023-01-05 19:00:00,2023-02-05 19:00:00,46833.57,220778,714888,23,13,21,498,2023-03-05 19:00:00,82822,Distributor,672176,North America,GBP,24.31,5.53
Clothing,5181,191123,132895,26,402.25,217.45,3308,300,2023-01-05 20:00:00,2023-02-05 20:00:00,31516.86,242981,514475,23,61,15,554,2023-03-05 20:00:00,34742,Wholesale,833718,Asia,USD,28.71,1.68
Furniture,2830,868748,994310,94,400.03,16.13,4351,290,2023-01-05 21:00:00,2023-02-05 21:00:00,23947.89,696762,206561,38,92,-40,294,2023-03-05 21:00:00,52089,Distributor,688036,Asia,GBP,34.03,10.37
Electronics,4395,912026,457531,2,218.33,424.4,2343,269,2023-01-05 22:00:00,2023-02-05 22:00:00,32963.29,241008,973279,20,74,-6,936,2023-03-05 22:00:00,52293,Retail,275459,Africa,GBP,22.11,1.67
Clothing,2203,807923,898352,34,409.59,485.27,4431,470,2023-01-05 23:00:00,2023-02-05 23:00:00,9751.09,941638,692170,24,24,11,469,2023-03-05 23:00:00,33036,Retail,608857,Europe,GBP,15.31,6.74
